 LINE ID,naics2002,2002 NAICS US TITLE,isic,ISIC 3.1 TITLE,NOTES
467,315999,Other Apparel Accessories and Other Apparel Manufacturing,2519,Manufacture of other rubber products,rubber bathing caps and aprons
469,316110,Leather and Hide Tanning and Finishing,1820,Dressing and dyeing of fur; manufacture of articles of fur,tanning and finishing furs and hides with hair
470,316110,Leather and Hide Tanning and Finishing,1911,Tanning and dressing of leather,tanning and finishing leather
471,316211,Rubber and Plastics Footwear Manufacturing,1920,Manufacture of footwear,rubber or plastic footwear
472,316212,House Slipper Manufacturing,1920,Manufacture of footwear,slippers
473,316213,Men's Footwear (except Athletic) Manufacturing,1920,Manufacture of footwear,"men's dress, work, and casual footwear"
474,316214,Women's Footwear (except Athletic) Manufacturing,1920,Manufacture of footwear,"women's dress, work, and casual footwear"
475,316219,Other Footwear Manufacturing,1920,Manufacture of footwear,"athletic footwear, infants footwear, cleated footwear, etc."
476,316991,Luggage Manufacturing,1912,"Manufacture of luggage, handbags and the like, saddlery and harness",manufacturing luggage of any material
477,316992,Women's Handbag and Purse Manufacturing,1912,"Manufacture of luggage, handbags and the like, saddlery and harness",manufacturing handbags and purses for any material (except precious metal)
478,316993,Personal Leather Goods (except Women's Handbag and Purse) Manufacturing,1912,"Manufacture of luggage, handbags and the like, saddlery and harness","manufacture of small articles carried about the person or in a handbag (key cases, billfolds, toilet kits, watchbands, etc.) of all materials (except precious metal)"
479,316999,All Other Leather Good Manufacturing,1810,"Manufacture of wearing apparel, except fur apparel","complete leather protective garments for welders, etc., leather industrial work accessories,  including welders’ leather aprons"
481,316999,All Other Leather Good Manufacturing,1912,"Manufacture of luggage, handbags and the like, saddlery and harness","saddlery, dog furnishings (collars and leashes), leather belting for machinery, and similar leather products"
482,316999,All Other Leather Good Manufacturing,1920,Manufacture of footwear,"footwear cut stock (uppers, soles, etc.)"
483,316999,All Other Leather Good Manufacturing,3699,Other manufacturing n.e.c.,horsewhips and riding crops
484,321113,Sawmills,2010,Sawmilling and planing of wood,wood and wood products produced in sawmills (except shingles and shakes)
485,321113,Sawmills,2022,Manufacture of builders' carpentry and joinery,"dimension lumber (i.e. building lumber, or solid wood structural members), shingles, and shakes made in sawmills"
486,321114,Wood Preservation,2010,Sawmilling and planing of wood,"treating wood and wood products or cutting wood for posts, poles, and the like and further treating the cut wood products"
487,321211,Hardwood Veneer and Plywood Manufacturing,2021,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards",hardwood veneer and plywood
488,321212,Softwood Veneer and Plywood Manufacturing,2021,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards",softwood veneer and plywood
489,321213,Engineered Wood Member (except Truss) Manufacturing,2022,Manufacture of builders' carpentry and joinery,"LVL (laminated veneer lumber), fabricated wood I-joists, and similar engineered wood members"
490,321214,Truss Manufacturing,2022,Manufacture of builders' carpentry and joinery,wood trusses
491,321219,Reconstituted Wood Product Manufacturing,2021,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards","sheets, boards, and panels made by combining wood chips or strands with adhesive or binders"
492,321911,Wood Window and Door Manufacturing,2022,Manufacture of builders' carpentry and joinery,"wood windows, doors, sashes, and similar items made of wood or wood clad in vinyl or metal"
493,321912,"Cut Stock, Resawing Lumber, and Planing",2010,Sawmilling and planing of wood,"cutting, resawing, or planing lumber initially cut in other locations"
494,321912,"Cut Stock, Resawing Lumber, and Planing",2022,Manufacture of builders' carpentry and joinery,dimension lumber (i.e. building lumber or solid wood structural members) made by cutting resawing or planing purchased rough lumber
495,321912,"Cut Stock, Resawing Lumber, and Planing",3699,Other manufacturing n.e.c.,blocks for the manufacture of smoking pipes 
496,321918,Other Millwork (including Flooring),2010,Sawmilling and planing of wood,"wood flooring, strip"
497,321918,Other Millwork (including Flooring),2022,Manufacture of builders' carpentry and joinery,"millwork, such as parquet flooring, moldings, trim, stairwork, cornices, mantles, and similar decorative wood articles for building"
498,321920,Wood Container and Pallet Manufacturing,2023,Manufacture of wooden containers,"wooden boxes, pallets, coopered products, etc."
499,321920,Wood Container and Pallet Manufacturing,2029,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","jewelry boxes, wood or part wood"
500,321991,Manufactured Home (Mobile Home) Manufacturing,2022,Manufacture of builders' carpentry and joinery,mobile homes 
501,321992,Prefabricated Wood Building Manufacturing,2022,Manufacture of builders' carpentry and joinery,prefabricated buildings and sections of prefabricated buildings
502,321999,All Other Miscellaneous Wood Product Manufacturing,1920,Manufacture of footwear,wood heels
503,321999,All Other Miscellaneous Wood Product Manufacturing,2010,Sawmilling and planing of wood,"excelsior, wood wool, kiln drying of lumber"
504,321999,All Other Miscellaneous Wood Product Manufacturing,2023,Manufacture of wooden containers,wooden cable reels (cable drums)
505,321999,All Other Miscellaneous Wood Product Manufacturing,2029,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","tool handles, utensils, kitchenware, spools, bobbins, reels, toilet seats, and other articles of wood, cork products, such as tiles, bulletin boards, bottle corks and stoppers; straw and straw products, such as baskets, etc."
507,321999,All Other Miscellaneous Wood Product Manufacturing,2520,Manufacture of plastics products,plastic shoe lasts
508,321999,All Other Miscellaneous Wood Product Manufacturing,3699,Other manufacturing n.e.c.,"handles for umbrellas, canes and similar "
509,322110,Pulp Mills,2101,"Manufacture of pulp, paper and paperboard",manufacture of pulp and deinking recovered paper
510,322121,Paper (except Newsprint) Mills,2101,"Manufacture of pulp, paper and paperboard",paper mills
511,322121,Paper (except Newsprint) Mills,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,corrugated paper or paperboard or containers made in paper mills
512,322121,Paper (except Newsprint) Mills,2109,Manufacture of other articles of paper and paperboard,"sanitary paper goods made in paper mills, paper stationery made in paper mills, manufacture of other articles of paper in paper mills"
515,322121,Paper (except Newsprint) Mills,2699,Manufacture of other non-metallic mineral products n.e.c.,tar paper made in paper mills
516,322122,Newsprint Mills,2101,"Manufacture of pulp, paper and paperboard",newsprint
517,322130,Paperboard Mills,2101,"Manufacture of pulp, paper and paperboard",paperboard
518,322130,Paperboard Mills,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,corrugated paperboard or containers made in paperboard mills
519,322130,Paperboard Mills,2109,Manufacture of other articles of paper and paperboard,"sanitary paper goods, paper stationery, or manufacture of other articles of paper made in paperboard mills"
522,322211,Corrugated and Solid Fiber Box Manufacturing,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,corrugated and solid fiber boxes made from purchased paperboard
523,322212,Folding Paperboard Box Manufacturing,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,folding paperboard boxes made from purchased paperboard
524,322213,Setup Paperboard Box Manufacturing,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,setup paperboard boxes made from purchased paperboard
525,322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing",2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,"fiber cans, tubes, drums, and similar products made from purchased paper stock"
526,322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing",2109,Manufacture of other articles of paper and paperboard,"cones, bobbins, spools, etc., made from purchased paperboard"
527,322215,Nonfolding Sanitary Food Container Manufacturing,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,nonfolding sanitary food containers made from purchased paperboard
528,322215,Nonfolding Sanitary Food Container Manufacturing,2109,Manufacture of other articles of paper and paperboard,"paper cups, dishes, straws, etc., made from purchased paper or paperboard"
529,322221,Coated and Laminated Packaging Paper and Plastics Film Manufacturing,2101,"Manufacture of pulp, paper and paperboard",coating or laminating purchased paper for packaging uses
529.1,322221,Coated and Laminated Packaging Paper and Plastics Film Manufacturing,2720,Manufacture of basic precious and non-ferrous metals,"laminating purchased foil and paper for packaging uses, foil as primary component"
530,322222,Coated and Laminated Paper Manufacturing,1729,Manufacture of other textiles n.e.c.,pressure-sensitive cloth tape
538.1,322222,Coated and Laminated Paper Manufacturing,2101,"Manufacture of pulp, paper and paperboard","laminating purchased foil and purchased paper, paper as primary component; coating and laminating paper for other than packaging uses"
532,322222,Coated and Laminated Paper Manufacturing,2109,Manufacture of other articles of paper and paperboard,"gummed paper products (sheets, tape) tape, wallpaper, or labels, gummed stock, including printing done at the same establishment made from purchased paper or other materials, including cellophane tape"
535,322222,Coated and Laminated Paper Manufacturing,2520,Manufacture of plastics products,"plastic wallpaper made from purchased plastic, plastics self-adhesive tapes and similar"
537,322222,Coated and Laminated Paper Manufacturing,2720,Manufacture of basic precious and non-ferrous metals,"precious metal foil laminates made from purchased foil, aluminum foil laminates made from purchased aluminum foil as primary component"
539,322223,"Plastics, Foil, and Coated Paper Bag Manufacturing",2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,coated paper bag manufacturing
539.1,322223,"Plastics, Foil, and Coated Paper Bag Manufacturing",2899,Manufacture of other fabricated metal products n.e.c.,foil bag manufacturing
540,322224,Uncoated Paper and Multiwall Bag Manufacturing,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,uncoated and multiwall paper bags
541,322225,Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses,2720,Manufacture of basic precious and non-ferrous metals,"aluminum foil packaging laminates made from purchased foil, tinfoil packaging laminates made from purchased tinfoil"
543,322226,Surface-Coated Paperboard Manufacturing,2101,"Manufacture of pulp, paper and paperboard",coating purchased paperboard
544,322226,Surface-Coated Paperboard Manufacturing,2109,Manufacture of other articles of paper and paperboard,"chipboard, coated or laminated, made from purchased paperboard"
545,322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing,2109,Manufacture of other articles of paper and paperboard,"die-cut office supplies such as file cards, folders, adding machine rolls, and similar die-cut products used in offices, die-cut paperboard letters"
547,322232,Envelope Manufacturing,2109,Manufacture of other articles of paper and paperboard,envelopes
548,322233,"Stationery, Tablet, and Related Product Manufacturing",2109,Manufacture of other articles of paper and paperboard,"writing paper, typing paper, tablets, filler paper, and similar paper"
549,322291,Sanitary Paper Product Manufacturing,1729,Manufacture of other textiles n.e.c.,"manufacturing sanitary paper products, such as tampons and napkins, from purchased textile fibers"
550,322291,Sanitary Paper Product Manufacturing,2109,Manufacture of other articles of paper and paperboard,sanitary products of paper
551,322299,All Other Converted Paper Product Manufacturing,2101,"Manufacture of pulp, paper and paperboard",crepe paper (or crinkling paper) made from purchased paper
552,322299,All Other Converted Paper Product Manufacturing,2102,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,die-cut paper products (except office use) made from purchased paper or paperboard
553,322299,All Other Converted Paper Product Manufacturing,2109,Manufacture of other articles of paper and paperboard,"molded pulp cups, trays, dishes and similar sanitary paper goods, molded pulp egg trays and similar items, filters made from purchased paper, cigarette paper (book) made from purchased paper, confetti made from purchased paper"
555.1,322299,All Other Converted Paper Product Manufacturing,3699,Other manufacturing n.e.c.,paper novelties made from purchased paper
556,323110,Commercial Lithographic Printing,2109,Manufacture of other articles of paper and paperboard,lithographic printing on purchased labels or tags
557,323110,Commercial Lithographic Printing,2221,Printing,"lithographic newspaper printing, lithographic printing (except newspapers, books, blank books and fillers)"
559,323111,Commercial Gravure Printing,2109,Manufacture of other articles of paper and paperboard,gravure printing on purchased labels or tags
560,323111,Commercial Gravure Printing,2221,Printing,"gravure newspaper printing, gravure printing (except newspapers, books, blank books, fillers)"
562,323112,Commercial Flexographic Printing,2109,Manufacture of other articles of paper and paperboard,flexographic printing on purchased labels or tags
563,323112,Commercial Flexographic Printing,2221,Printing,"flexographic newspaper printing, flexographic printing (except newspapers, books, blank books, fillers)"
565,323113,Commercial Screen Printing,1712,Finishing of textiles,"screen printing on made up textile products, including apparel"
566,323113,Commercial Screen Printing,2109,Manufacture of other articles of paper and paperboard,screen printing on purchased labels and tags
567,323113,Commercial Screen Printing,2221,Printing,"screen printing newspapers, screen printing (except newspapers, books, blank books, fillers)"
569,323114,Quick Printing,2221,Printing,short-run offset lithographic printing
570,323114,Quick Printing,7499,Other business activities n.e.c.,quick printing combined with photocopy services
571,323115,Digital Printing,2221,Printing,digital printing of graphical materials
572,323116,Manifold Business Forms Printing,2221,Printing,printing manifold business forms
573,323117,Books Printing,2221,Printing,printing books without publishing books
575,323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing",2221,Printing,"printing looseleaf fillers, blank books, notebooks, diaries, etc."
574,323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing",2222,Service activities related to printing,"ring binders, looseleaf binders, and related device manufacturing "
576,323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing",2899,Manufacture of other fabricated metal products n.e.c.,looseleaf binding fittings
577,323119,Other Commercial Printing,2109,Manufacture of other articles of paper and paperboard,other printing on purchased labels and tags
578,323119,Other Commercial Printing,2221,Printing,"other newspaper printing, such as letterpress, other printing of items and miscellaneous printing, n.e.c."
580,323121,Tradebinding and Related Work,2222,Service activities related to printing,"binding, sample mounting and post press services, such as embossing, gilding, edging, etc."
581,323122,Prepress Services,2222,Service activities related to printing,"prepress services and plate making services, miscellaneous activities related to printing, such as punching and drilling, folding, embossing"
583,324110,Petroleum Refineries,2320,Manufacture of refined petroleum products,"refined petroleum products produced from crude in the same establishment, asphalt paving mixtures, compounds, and mastics made in petroleum refineries"
585,324121,Asphalt Paving Mixture and Block Manufacturing,2699,Manufacture of other non-metallic mineral products n.e.c.,asphalt paving mixtures and compounds made from purchased asphaltic materials
586,324122,Asphalt Shingle and Coating Materials Manufacturing,2699,Manufacture of other non-metallic mineral products n.e.c.,asphalt shingles and coating materials made from purchased asphaltic materials
587,324191,Petroleum Lubricating Oil and Grease Manufacturing,2320,Manufacture of refined petroleum products,lubricating oil and grease made from purchased refined petroleum
588,324199,All Other Petroleum and Coal Products Manufacturing,1010,Mining and agglomeration of hard coal,hard-coal fuel briquettes
589,324199,All Other Petroleum and Coal Products Manufacturing,1020,Mining and agglomeration of lignite,lignite fuel briquettes
590,324199,All Other Petroleum and Coal Products Manufacturing,2029,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",fire logs made of pressed wood and purchased refined petroleum binders
591,324199,All Other Petroleum and Coal Products Manufacturing,2310,Manufacture of coke oven products,"coke oven products, such as coke, gasses, tar"
592,324199,All Other Petroleum and Coal Products Manufacturing,2320,Manufacture of refined petroleum products,"wax, petroleum jelly, and similar products made from purchased refined petroleum"
593,325110,Petrochemical Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds","manufacture of paraffin and similar from purchased refined petroleum in petrochemical plants, cyclic and acyclic hydrocarbons"
595,325120,Industrial Gas Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds","manufacture of industrial gases, including solid carbon dioxide (dry ice)"
596,325131,Inorganic Dye and Pigment Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds",inorganic dyes and pigments
597,325132,Synthetic Organic Dye and Pigment Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds",synthetic organic dyes and pigments
598,325181,Alkalies and Chlorine Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds",alkalies and chlorine
599,325182,Carbon Black Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds","carbon black, bone black, lamp black"
600,325188,All Other Basic Inorganic Chemical Manufacturing,2330,Processing of nuclear fuel,"manufacture of radio isotopes, uranium, enriched uranium, etc."
601,325188,All Other Basic Inorganic Chemical Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds","inorganic tanning agents, all other basic inorganic chemicals, including carbon disulfide"
603,325188,All Other Basic Inorganic Chemical Manufacturing,2412,Manufacture of fertilizers and nitrogen compounds,"ammonium chloride and other ammonium compounds not specified elsewhere, potassium nitrate, etc."
604,325191,Gum and Wood Chemical Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds","natural tanning and dyeing extracts, gum and wood chemicals"
606,325191,Gum and Wood Chemical Manufacturing,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",water pigments for finishing leather 
607,325192,Cyclic Crude and Intermediate Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds","coal tar distillates, other cyclic crudes and intermediates"
608,325193,Ethyl Alcohol Manufacturing,1551,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials",manufacture of fermented nonpotable ethyl alcohol
609,325193,Ethyl Alcohol Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds",nonpotable synthetic ethyl alcohol (not fermented)
610,325199,All Other Basic Organic Chemical Manufacturing ,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds","other natural colorings, nonfood, acetic acid and similar, other oxygen function compounds, such as ketone, synthetic glycerol, natural and synthetic alcohols (such as methyl), etc."
612,325199,All Other Basic Organic Chemical Manufacturing,2423,"Manufacture of pharmaceuticals, medicinal chemicals and botanical products",salicylic acid (nonmedicinal)
613,325199,All Other Basic Organic Chemical Manufacturing,2429,Manufacture of other chemical products n.e.c.,"synthetic essential oils, synthetic plasticizer compounds, synthetic accelerators, naphthenic acid soaps"
615,325211,Plastics Material and Resin Manufacturing,2413,Manufacture of plastics in primary forms and of synthetic rubber,plastics resins
616,325212,Synthetic Rubber Manufacturing,2413,Manufacture of plastics in primary forms and of synthetic rubber,synthetic rubber manufacturing
617,325221,Cellulosic Organic Fiber Manufacturing,2430,Manufacture of man-made fibres,"cellulosic fibers, filaments, tow, and monofilament yarn"
618,325221,Cellulosic Organic Fiber Manufacturing,2520,Manufacture of plastics products,cellophane film or sheet
619,325222,Noncellulosic Organic Fiber Manufacturing,2430,Manufacture of man-made fibres,"noncellulosic fibers, filaments, tow, and monofilament yarn"
620,325311,Nitrogenous Fertilizer Manufacturing,2412,Manufacture of fertilizers and nitrogen compounds,nitrogenous fertilizer and nitrogenous fertilizer inputs
621.1,325312,Phosphatic Fertilizer Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds",phosphoric acid
621,325312,Phosphatic Fertilizer Manufacturing,2412,Manufacture of fertilizers and nitrogen compounds,phosphatic fertilizers and inputs
622,325314,Fertilizer (Mixing Only) Manufacturing,2412,Manufacture of fertilizers and nitrogen compounds,mixing purchased inputs to make fertilizer
623,325320,Pesticide and Other Agricultural Chemical Manufacturing,2421,Manufacture of pesticides and other agro-chemical products,pesticides and other agricultural chemicals in bulk or put up for retail sale
624,325411,Medicinal and Botanical Manufacturing,2423,"Manufacture of pharmaceuticals, medicinal chemicals and botanical products",uncompounded medicinal chemicals and their derivatives
625,325412,Pharmaceutical Preparation Manufacturing,2330,Processing of nuclear fuel,radioactive in-vivo diagnostic substances
626,325412,Pharmaceutical Preparation Manufacturing,2423,"Manufacture of pharmaceuticals, medicinal chemicals and botanical products",pharmaceutical preparations
627,325413,In-Vitro Diagnostic Substance Manufacturing,2423,"Manufacture of pharmaceuticals, medicinal chemicals and botanical products",in-vitro diagnostic substances
628,325413,In-Vitro Diagnostic Substance Manufacturing,2429,Manufacture of other chemical products n.e.c.,diagnostic reagents 
629,325414,Biological Product (except Diagnostic) Manufacturing,2423,"Manufacture of pharmaceuticals, medicinal chemicals and botanical products","plasma and other processed blood, vaccines, toxoids, and other biological products, agar culture media"
632,325510,Paint and Coating Manufacturing,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",paints and coatings
633,325520,Adhesive Manufacturing,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",caulks and mastics (except glues)
634,325520,Adhesive Manufacturing,2429,Manufacture of other chemical products n.e.c.,glues
635,325611,Soap and Other Detergent Manufacturing,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","soaps and detergents, toothpastes, gels, etc."
637,325612,Polish and Other Sanitation Good Manufacturing,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds",household lye
638,325612,Polish and Other Sanitation Good Manufacturing,2421,Manufacture of pesticides and other agro-chemical products,household and industrial disinfectants
639,325612,Polish and Other Sanitation Good Manufacturing,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",polishes and other sanitation goods
639.1,325612,Polish and Other Sanitation Good Manufacturing,2429,Manufacture of other chemical products n.e.c.,laundry starch
640,325613,Surface Active Agent Manufacturing,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",emulsifiers and penetrants 
641,325613,Surface Active Agent Manufacturing,2429,Manufacture of other chemical products n.e.c.,"leather and textile finishing agents, mordants"
642,325620,Toilet Preparation Manufacturing,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","premoistened towelettes (hand cleaning), perfumes and toilet preparations, including cosmetics, denture cleaners and adhesives, sunscreen lotions, personal deodorants"
644,325910,Printing Ink Manufacturing,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","printing inks, including duplicator"
645,325920,Explosives Manufacturing,2429,Manufacture of other chemical products n.e.c.,explosives
646,325991,Custom Compounding of Purchased Resins,2413,Manufacture of plastics in primary forms and of synthetic rubber,custom compounding purchased resins
647,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",2429,Manufacture of other chemical products n.e.c.,"photographic film, plate, paper, and chemicals "
648,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",3000,"Manufacture of office, accounting and computing machinery",toner cartridges
649,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",textile dye preparations and other household dye or tinting preparations (except hair)
650,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",incense and engine degreasers
651,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2429,Manufacture of other chemical products n.e.c.,"fireworks and signaling flares, essential oils, chemical preparations, n.e.c., Including activated carbon, writing & drawing inks, fire extinguisher charges, antifreeze compounds"
654,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2699,Manufacture of other non-metallic mineral products n.e.c.,drilling mud compounds
655,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3699,Other manufacturing n.e.c.,matches
656,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,7495,Packaging activities,aerosol packaging
657,326111,Plastics Bag Manufacturing,2520,Manufacture of plastics products,"plastics bags, single web and multiweb, single wall and multiwall (plastic to plastic laminations)"
658,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,2520,Manufacture of plastics products,plastics packaging film and sheet
659,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,2520,Manufacture of plastics products,film and sheet (except for packaging applications)
660,326121,Unlaminated Plastics Profile Shape Manufacturing,2520,Manufacture of plastics products,plastics profile shapes such as rod and tube
661,326122,Plastics Pipe and Pipe Fitting Manufacturing,2520,Manufacture of plastics products,plastics pipe and pipe fittings
662,326130,"Laminated Plastics Plate, Sheet (except packaging), and Shape Manufacturing",2520,Manufacture of plastics products,"laminated plastics plate, sheet, film, and basic shapes, such as rod and tube"
663,326140,Polystyrene Foam Product Manufacturing,2520,Manufacture of plastics products,"polystyrene insulation panels or boards, packaging materials, shipping pads, and similar items, cups, dishes, plates, etc. Also polystyrene ice chests, jugs, and similar, polystyrene plastics vacuum jugs"
667,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,2520,Manufacture of plastics products,"other foam packaging materials, cups, shipping pads, and similar items, other foam ice chests, vacuum jugs, and similar, foam covers for cloths hangers"
669,326160,Plastics Bottle Manufacturing,2520,Manufacture of plastics products,plastics bottles
670,326191,Plastics Plumbing Fixture Manufacturing,2520,Manufacture of plastics products,"plastics plumbing fixtures such as water closets, urinals, sinks, basins, laundry tubs, and similar, cultured marble and cultured stone sinks, vanity tops, etc."
671,326192,Resilient Floor Covering Manufacturing,2519,Manufacture of other rubber products,resilient rubber floor coverings
672,326192,Resilient Floor Covering Manufacturing,2520,Manufacture of plastics products,plastics resilient floor coverings (vinyl)
673,326192,Resilient Floor Covering Manufacturing,3699,Other manufacturing n.e.c.,linoleum and other hard surface floor coverings (except rugs)
674,326199,All Other Plastics Product Manufacturing,1920,Manufacture of footwear,plastic footwear parts
675,326199,All Other Plastics Product Manufacturing,2520,Manufacture of plastics products,"corrugated and flat plastics building panels (sheets), miscellaneous plastics packaging products, including plastic bubble wrap, and bottle tops, pails, drums, boxes and cases of plastics, plastics building products (shutters, siding, doors, & parts), miscellaneous plastics products, such as lamp shades, clothes hangers, cloths pins, bathroom and toilet accessories, dishes, bowels, balloons, nuts, bolts, organizers, fiberglass ladders, etc."
678.1,326199,All Other Plastics Product Manufacturing,3140,"Manufacture of accumulators, primary cells and primary batteries",plastics battery separators
678.2,326199,All Other Plastics Product Manufacturing,3420,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,plastics air cargo containers
679,326199,All Other Plastics Product Manufacturing,3512,Building and repairing of pleasure and sporting boats,inflatable plastic pleasure boats
680,326199,All Other Plastics Product Manufacturing,3610,Manufacture of furniture,"plastics counter tops, not fabricated at the construction site"
681,326199,All Other Plastics Product Manufacturing,3699,Other manufacturing n.e.c.,"cigar and cigarette holders, combs, plastics hair curlers, plastics novelties and similar"
682,326211,Tire Manufacturing (except Retreading),2511,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,tubes and tires (including camelback)
683,326211,Tire Manufacturing (except Retreading),2519,Manufacture of other rubber products,rubber tire repair materials
684,326212,Tire Retreading,2511,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,retreading
685,326220,Rubber and Plastics Hose and Belting Manufacturing,2519,Manufacture of other rubber products,rubber hose and belting
686,326220,Rubber and Plastics Hose and Belting Manufacturing,2520,Manufacture of plastics products,plastics (reinforced) hose and belting manufacturing
687,326291,Rubber Product Manufacturing for Mechanical Use,2519,Manufacture of other rubber products,"molded, extruded or lathe cut rubber products for mechanical applications"
688,326299,All Other Rubber Product Manufacturing,1920,Manufacture of footwear,rubber boot and shoe heels and soles and other rubber footwear parts
689,326299,All Other Rubber Product Manufacturing,2519,Manufacture of other rubber products,"all other rubber products, including reclaimed or recovered rubber from scrap or waste, rubber floor mats, rubber hair care products, inflatable rubber rafts, balloons"
689.1,326299,All Other Rubber Product Manufacturing,3140,"Manufacture of accumulators, primary cells and primary batteries",rubber battery separators
690,326299,All Other Rubber Product Manufacturing,3511,Building and repairing of ships,inflatable rubber life rafts and dinghies
691,326299,All Other Rubber Product Manufacturing,3512,Building and repairing of pleasure and sporting boats,inflatable rubber pleasure boats
692,326299,All Other Rubber Product Manufacturing,3699,Other manufacturing n.e.c.,"rubber brushes, hard rubber pipe stems, hard rubber combs, hair pins, hair rollers, and similar"
694,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,2691,Manufacture of non-structural non-refractory ceramic ware,"ceramic and earthenware bathroom accessories, ceramic sanitary fixtures"
696,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",2691,Manufacture of non-structural non-refractory ceramic ware,"ceramic & earthenware cooking ware, table & kitchen articles, vases, statuary & art articles, & similar, technical & chemical stoneware, ceramic, china, & porcelain articles, clay products for agriculture (e.g., red clay pots) & other clay pots, jars, etc"
699,327113,Porcelain Electrical Supply Manufacturing,2691,Manufacture of non-structural non-refractory ceramic ware,"ceramic insulators and fittings, ceramic magnets"
701,327121,Brick and Structural Clay Tile Manufacturing,2693,Manufacture of structural non-refractory clay and ceramic products,brick and structural clay tiles
702,327122,Ceramic Wall and Floor Tile Manufacturing,2693,Manufacture of structural non-refractory clay and ceramic products,"ceramic floor and wall tiles, clay quarry tiles (flooring blocks, support or filler tiles)"
